department,municipality_id,municipality,year,month,population,value
Cochabamba,30101,Cochabamba,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
La Paz,21402,Coripata,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70102,Cotoca,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20105,El Alto,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
La Paz,21601,Gral. J.j. Perez (charazani),2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Beni,80202,Guayaramerin,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70104,La Guardia,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20101,La Paz,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20402,Mocomoco,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,71001,Montero,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Oruro,40101,Oruro,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Cochabamba,31001,Sacaba,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Potosí,50701,Sacaca,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Chuquisaca,10101,Sucre,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Cochabamba,30903,Tiquipaya,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Chuquisaca,10402,Tomina,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70201,Warnes,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Tarija,60301,Yacuiba,2019,6,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30601,Arque,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,22001,Caranavi,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Cochabamba,30101,Cochabamba,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70102,Cotoca,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20105,El Alto,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20101,La Paz,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70601,Portachuelo,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Potosí,50101,Potosi,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,71402,Puerto Quijarro,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Santa Cruz,70201,Warnes,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Tarija,60301,Yacuiba,2019,7,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,71501,Ascencion De Guarayos,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30701,Capinota,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30101,Cochabamba,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20105,El Alto,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70105,El Torno,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,21105,La Asunta,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70104,La Guardia,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20101,La Paz,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,3
Santa Cruz,71001,Montero,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Oruro,40101,Oruro,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Beni,80201,Riberalta,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Tarija,60101,Tarija,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Chuquisaca,10801,Villa Serrano,2019,8,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Chuquisaca,10201,Azurduy,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,22001,Caranavi,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Cochabamba,30101,Cochabamba,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,3
La Paz,20105,El Alto,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20101,La Paz,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Potosí,50203,Llallagua,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,71001,Montero,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Oruro,40101,Oruro,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70301,San Ignacio De Velasco,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Chuquisaca,10101,Sucre,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Tarija,60101,Tarija,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Chuquisaca,10402,Tomina,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Beni,80101,Trinidad,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20801,Viacha,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70201,Warnes,2019,9,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Chuquisaca,10201,Azurduy,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Pando,90101,Cobija,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30101,Cochabamba,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30905,Colcapirhua,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70102,Cotoca,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20105,El Alto,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,3
Santa Cruz,70104,La Guardia,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20101,La Paz,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Oruro,40101,Oruro,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Beni,80201,Riberalta,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Beni,80401,Santa Ana,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Cochabamba,30902,Sipe Sipe,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20801,Viacha,2019,10,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30101,Cochabamba,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Chuquisaca,10902,Culpina,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20105,El Alto,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70104,La Guardia,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20101,La Paz,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,71001,Montero,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Oruro,40101,Oruro,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,21201,Pucarani,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70301,San Ignacio De Velasco,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,71104,San Julian,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Chuquisaca,10101,Sucre,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Tarija,60101,Tarija,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,20801,Viacha,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Tarija,60301,Yacuiba,2019,11,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30101,Cochabamba,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20105,El Alto,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,70105,El Torno,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
La Paz,20101,La Paz,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Santa Cruz,71001,Montero,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,2
Oruro,40101,Oruro,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
La Paz,21104,Palos Blancos,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,1
Potosí,50101,Potosi,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Cochabamba,30902,Sipe Sipe,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Chuquisaca,10101,Sucre,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Tarija,60301,Yacuiba,2019,12,No DE PACIENTES CON COINFECCION TB/VIH CANTIDAD / FEMENINO,0
Pando,90101,Cobija,2019,1,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,1,TOTALES / TOTAL,2
Cochabamba,31206,Entre Rios Cbba,2019,1,TOTALES / TOTAL,1
Santa Cruz,70104,La Guardia,2019,1,TOTALES / TOTAL,3
La Paz,20101,La Paz,2019,1,TOTALES / TOTAL,3
Santa Cruz,71001,Montero,2019,1,TOTALES / TOTAL,1
Cochabamba,31205,Puerto Villarroel,2019,1,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,1,TOTALES / TOTAL,8
Santa Cruz,70602,Santa Rosa Del Sara,2019,1,TOTALES / TOTAL,1
Cochabamba,30903,Tiquipaya,2019,1,TOTALES / TOTAL,1
Tarija,60303,Villa Montes,2019,1,TOTALES / TOTAL,2
La Paz,22001,Caranavi,2019,2,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,2,TOTALES / TOTAL,4
La Paz,20105,El Alto,2019,2,TOTALES / TOTAL,4
Santa Cruz,70104,La Guardia,2019,2,TOTALES / TOTAL,1
Oruro,40101,Oruro,2019,2,TOTALES / TOTAL,1
Potosí,50101,Potosi,2019,2,TOTALES / TOTAL,6
Santa Cruz,70101,Santa Cruz De La Sierra,2019,2,TOTALES / TOTAL,12
Potosí,50303,Tacobamba,2019,2,TOTALES / TOTAL,1
Beni,80101,Trinidad,2019,2,TOTALES / TOTAL,1
Santa Cruz,70201,Warnes,2019,2,TOTALES / TOTAL,3
La Paz,20501,Chuma,2019,3,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,3,TOTALES / TOTAL,3
Santa Cruz,71301,Comarapa,2019,3,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,3,TOTALES / TOTAL,1
Santa Cruz,70104,La Guardia,2019,3,TOTALES / TOTAL,2
La Paz,20101,La Paz,2019,3,TOTALES / TOTAL,6
Santa Cruz,71001,Montero,2019,3,TOTALES / TOTAL,1
Oruro,40101,Oruro,2019,3,TOTALES / TOTAL,1
Potosí,50101,Potosi,2019,3,TOTALES / TOTAL,1
Santa Cruz,70503,Robore,2019,3,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,3,TOTALES / TOTAL,7
Cochabamba,30904,Vinto,2019,3,TOTALES / TOTAL,1
Santa Cruz,70201,Warnes,2019,3,TOTALES / TOTAL,1
Cochabamba,30201,Aiquile,2019,4,TOTALES / TOTAL,1
Tarija,60202,Bermejo,2019,4,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,4,TOTALES / TOTAL,5
Santa Cruz,70102,Cotoca,2019,4,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,4,TOTALES / TOTAL,4
Santa Cruz,70104,La Guardia,2019,4,TOTALES / TOTAL,1
La Paz,20101,La Paz,2019,4,TOTALES / TOTAL,16
Oruro,40101,Oruro,2019,4,TOTALES / TOTAL,1
La Paz,21201,Pucarani,2019,4,TOTALES / TOTAL,1
Cochabamba,30901,Quillacollo,2019,4,TOTALES / TOTAL,1
Beni,80201,Riberalta,2019,4,TOTALES / TOTAL,1
Beni,80401,Santa Ana,2019,4,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,4,TOTALES / TOTAL,16
Chuquisaca,10101,Sucre,2019,4,TOTALES / TOTAL,1
Cochabamba,31003,Villa Tunari,2019,4,TOTALES / TOTAL,1
Cochabamba,30403,Arbieto,2019,5,TOTALES / TOTAL,1
Cochabamba,30801,Cliza,2019,5,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,5,TOTALES / TOTAL,1
Cochabamba,30905,Colcapirhua,2019,5,TOTALES / TOTAL,1
Potosí,50401,Colquechaca,2019,5,TOTALES / TOTAL,1
Santa Cruz,70102,Cotoca,2019,5,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,5,TOTALES / TOTAL,2
La Paz,20101,La Paz,2019,5,TOTALES / TOTAL,3
Cochabamba,31001,Sacaba,2019,5,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,5,TOTALES / TOTAL,11
Santa Cruz,70801,Vallegrande,2019,5,TOTALES / TOTAL,1
Cochabamba,30301,Ayopaya (v. De Independencia),2019,6,TOTALES / TOTAL,1
Cochabamba,30701,Capinota,2019,6,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,6,TOTALES / TOTAL,7
La Paz,21402,Coripata,2019,6,TOTALES / TOTAL,1
Santa Cruz,70102,Cotoca,2019,6,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,6,TOTALES / TOTAL,5
La Paz,21601,Gral. J.j. Perez (charazani),2019,6,TOTALES / TOTAL,1
Beni,80202,Guayaramerin,2019,6,TOTALES / TOTAL,1
Santa Cruz,70104,La Guardia,2019,6,TOTALES / TOTAL,2
La Paz,20101,La Paz,2019,6,TOTALES / TOTAL,2
La Paz,20402,Mocomoco,2019,6,TOTALES / TOTAL,1
Santa Cruz,71001,Montero,2019,6,TOTALES / TOTAL,1
Oruro,40101,Oruro,2019,6,TOTALES / TOTAL,2
Cochabamba,31001,Sacaba,2019,6,TOTALES / TOTAL,2
Potosí,50701,Sacaca,2019,6,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,6,TOTALES / TOTAL,5
Chuquisaca,10101,Sucre,2019,6,TOTALES / TOTAL,2
Cochabamba,30903,Tiquipaya,2019,6,TOTALES / TOTAL,1
Chuquisaca,10402,Tomina,2019,6,TOTALES / TOTAL,1
Santa Cruz,70201,Warnes,2019,6,TOTALES / TOTAL,1
Tarija,60301,Yacuiba,2019,6,TOTALES / TOTAL,1
Cochabamba,30601,Arque,2019,7,TOTALES / TOTAL,1
La Paz,22001,Caranavi,2019,7,TOTALES / TOTAL,2
Cochabamba,30101,Cochabamba,2019,7,TOTALES / TOTAL,9
Santa Cruz,70102,Cotoca,2019,7,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,7,TOTALES / TOTAL,1
La Paz,20101,La Paz,2019,7,TOTALES / TOTAL,2
Santa Cruz,70601,Portachuelo,2019,7,TOTALES / TOTAL,1
Potosí,50101,Potosi,2019,7,TOTALES / TOTAL,1
Santa Cruz,71402,Puerto Quijarro,2019,7,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,7,TOTALES / TOTAL,4
Santa Cruz,70201,Warnes,2019,7,TOTALES / TOTAL,2
Tarija,60301,Yacuiba,2019,7,TOTALES / TOTAL,2
Santa Cruz,71501,Ascencion De Guarayos,2019,8,TOTALES / TOTAL,1
Cochabamba,30701,Capinota,2019,8,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,8,TOTALES / TOTAL,6
La Paz,20105,El Alto,2019,8,TOTALES / TOTAL,5
Santa Cruz,70105,El Torno,2019,8,TOTALES / TOTAL,1
La Paz,21105,La Asunta,2019,8,TOTALES / TOTAL,1
Santa Cruz,70104,La Guardia,2019,8,TOTALES / TOTAL,1
La Paz,20101,La Paz,2019,8,TOTALES / TOTAL,12
Santa Cruz,71001,Montero,2019,8,TOTALES / TOTAL,1
Oruro,40101,Oruro,2019,8,TOTALES / TOTAL,1
Beni,80201,Riberalta,2019,8,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,8,TOTALES / TOTAL,8
Tarija,60101,Tarija,2019,8,TOTALES / TOTAL,2
Chuquisaca,10801,Villa Serrano,2019,8,TOTALES / TOTAL,1
Chuquisaca,10201,Azurduy,2019,9,TOTALES / TOTAL,1
La Paz,22001,Caranavi,2019,9,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,9,TOTALES / TOTAL,9
La Paz,20105,El Alto,2019,9,TOTALES / TOTAL,3
La Paz,20101,La Paz,2019,9,TOTALES / TOTAL,0
Potosí,50203,Llallagua,2019,9,TOTALES / TOTAL,1
Santa Cruz,71001,Montero,2019,9,TOTALES / TOTAL,2
Oruro,40101,Oruro,2019,9,TOTALES / TOTAL,1
Santa Cruz,70301,San Ignacio De Velasco,2019,9,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,9,TOTALES / TOTAL,8
Chuquisaca,10101,Sucre,2019,9,TOTALES / TOTAL,1
Tarija,60101,Tarija,2019,9,TOTALES / TOTAL,1
Chuquisaca,10402,Tomina,2019,9,TOTALES / TOTAL,1
Beni,80101,Trinidad,2019,9,TOTALES / TOTAL,2
La Paz,20801,Viacha,2019,9,TOTALES / TOTAL,1
Santa Cruz,70201,Warnes,2019,9,TOTALES / TOTAL,1
Chuquisaca,10201,Azurduy,2019,10,TOTALES / TOTAL,1
Pando,90101,Cobija,2019,10,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,10,TOTALES / TOTAL,3
Cochabamba,30905,Colcapirhua,2019,10,TOTALES / TOTAL,3
Santa Cruz,70102,Cotoca,2019,10,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,10,TOTALES / TOTAL,5
Santa Cruz,70104,La Guardia,2019,10,TOTALES / TOTAL,1
La Paz,20101,La Paz,2019,10,TOTALES / TOTAL,4
Oruro,40101,Oruro,2019,10,TOTALES / TOTAL,1
Cochabamba,31205,Puerto Villarroel,2019,10,TOTALES / TOTAL,1
Beni,80201,Riberalta,2019,10,TOTALES / TOTAL,1
Beni,80401,Santa Ana,2019,10,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,10,TOTALES / TOTAL,4
Cochabamba,30902,Sipe Sipe,2019,10,TOTALES / TOTAL,1
La Paz,20801,Viacha,2019,10,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,11,TOTALES / TOTAL,4
Chuquisaca,10902,Culpina,2019,11,TOTALES / TOTAL,1
La Paz,20105,El Alto,2019,11,TOTALES / TOTAL,1
Santa Cruz,70104,La Guardia,2019,11,TOTALES / TOTAL,1
La Paz,20101,La Paz,2019,11,TOTALES / TOTAL,2
Santa Cruz,71001,Montero,2019,11,TOTALES / TOTAL,1
Oruro,40101,Oruro,2019,11,TOTALES / TOTAL,1
La Paz,21201,Pucarani,2019,11,TOTALES / TOTAL,1
Santa Cruz,70301,San Ignacio De Velasco,2019,11,TOTALES / TOTAL,1
Santa Cruz,71104,San Julian,2019,11,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,11,TOTALES / TOTAL,7
Chuquisaca,10101,Sucre,2019,11,TOTALES / TOTAL,1
Tarija,60101,Tarija,2019,11,TOTALES / TOTAL,2
La Paz,20801,Viacha,2019,11,TOTALES / TOTAL,1
Tarija,60301,Yacuiba,2019,11,TOTALES / TOTAL,1
Cochabamba,30101,Cochabamba,2019,12,TOTALES / TOTAL,4
La Paz,20105,El Alto,2019,12,TOTALES / TOTAL,2
Santa Cruz,70105,El Torno,2019,12,TOTALES / TOTAL,1
La Paz,20101,La Paz,2019,12,TOTALES / TOTAL,2
Santa Cruz,71001,Montero,2019,12,TOTALES / TOTAL,2
Oruro,40101,Oruro,2019,12,TOTALES / TOTAL,1
La Paz,21104,Palos Blancos,2019,12,TOTALES / TOTAL,1
Potosí,50101,Potosi,2019,12,TOTALES / TOTAL,1
Cochabamba,31205,Puerto Villarroel,2019,12,TOTALES / TOTAL,1
Santa Cruz,70101,Santa Cruz De La Sierra,2019,12,TOTALES / TOTAL,9
Cochabamba,30902,Sipe Sipe,2019,12,TOTALES / TOTAL,1
Chuquisaca,10101,Sucre,2019,12,TOTALES / TOTAL,1
Tarija,60301,Yacuiba,2019,12,TOTALES / TOTAL,1
